init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance
175.0,32.1528,0.1837,2690.0,1.0,0.1837,0.8163,45,0.621,30M_30N_10T,Large,37
157.0,29.5354,0.1881,3350.0,0.8481,0.1881,0.8119,50,0.74,30M_30N_10T,Large,38
182.0,32.5722,0.179,2850.0,0.9694,0.179,0.821,51,0.607,30M_30N_10T,Large,39
177.0,27.6277,0.1561,2880.0,0.9829,0.1561,0.8439,57,0.564,30M_30N_10T,Large,40
201.0,52.2816,0.2601,3120.0,0.9512,0.2601,0.7399,56,0.561,30M_30N_10T,Large,41
164.0,23.832,0.1453,3780.0,0.9426,0.1453,0.8547,59,0.567,30M_30N_10T,Large,42
173.0,20.6521,0.1194,2850.0,0.9727,0.1194,0.8806,51,0.557,30M_30N_10T,Large,43
188.0,24.6352,0.131,3640.0,0.8966,0.131,0.869,61,0.567,30M_30N_10T,Large,44
183.0,22.3217,0.122,3270.0,0.9589,0.122,0.878,61,0.57,30M_30N_10T,Large,45
135.0,31.8732,0.2361,3590.0,0.9447,0.2361,0.7639,59,0.572,30M_30N_10T,Large,46
158.0,15.5269,0.0983,4040.0,0.9782,0.0983,0.9017,60,0.565,30M_30N_10T,Large,47
145.0,35.8535,0.2473,3530.0,0.8759,0.2473,0.7527,58,0.565,30M_30N_10T,Large,48
162.0,25.3685,0.1566,4350.0,1.0,0.1566,0.8434,62,0.569,30M_30N_10T,Large,49
283.0,68.3923,0.2417,5620.0,0.8935,0.2417,0.7583,100,0.9975,50M_50N_10T,Large,0
241.0,44.6727,0.1854,6390.0,0.9922,0.1854,0.8146,100,0.9299,50M_50N_10T,Large,1
285.0,43.3231,0.152,5650.0,0.9232,0.152,0.848,98,0.9289,50M_50N_10T,Large,2
255.0,30.1013,0.118,5440.0,0.9412,0.118,0.882,89,0.9177,50M_50N_10T,Large,3
309.0,83.2308,0.2694,5110.0,0.9012,0.2694,0.7306,90,0.9249,50M_50N_10T,Large,4
